OU_NAME,TOTAL_AMOUNT_USD,Season Split Year Grouping,Season Split Sort,Fiscal Year
DAKINE EQUIPMENT LLC. (OU),46.92,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),46.92,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),46.92,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),25.14,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),25.14,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),25.14,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),25.14,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),33.52,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),67.03,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),33.52,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),67.03,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),46.92,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),93.84,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),93.84,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),93.84,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),46.92,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),93.84,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),23.46,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),93.84,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),87.14,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),87.14,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),43.57,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),10.05,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),40.22,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),40.22,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),20.11,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),20.11,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),90.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),60.33,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),100.55,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),67.03,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),67.03,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),134.06,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),26.81,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),67.03,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),134.06,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),67.03,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),134.06,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),134.06,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),134.06,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),134.06,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),134.06,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),93.84,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),187.69,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),187.69,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),36.87,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),36.87,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),36.87,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),36.87,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),36.87,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),36.87,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),73.73,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),56.98,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),28.49,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),20.11,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),40.22,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),40.22,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),40.22,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),40.22,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),20.11,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),80.44,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),20.11,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),100.55,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),10.05,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),100.55,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),50.27,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),40.22,2025,016,2026
DAKINE EQUIPMENT LLC. (OU),40.22,2025,016,2026
